Super-Reino	Filo	Classe	Ordem	Familia	Genero	Especie	LGM047_BAC-1.2	LGM0159_1_EL_BAC-1.25
Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiaceae	Hyphomicrobium	Hyphomicrobium sulfonivorans	0.0	0.0
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga	Hydrogenophaga defluvii	0.0	0.0
Bacteria	Actinobacteria	Actinomycetia	Streptosporangiales	Streptosporangiaceae	Herbidospora	Herbidospora sakaeratensis	0.0	0.0
Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter kayseriensis	0.0	2.0
Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	Geobacter soli	0.0	0.0
Bacteria	Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	Flavitalea	Flavitalea populi	0.0	0.0
Bacteria	Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	Flavitalea	Flavitalea flava	0.0	0.0
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetospirillum	Magnetospirillum moscoviense	0.0	0.0
Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	Halomonas azerica	0.0	0.0
Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Psychrobacter	Psychrobacter aquimaris	0.0	0.0
Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium chiapanecum	0.0	0.0
Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Salinicola	Salinicola halophilus	0.0	0.0
Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Lacunisphaera	Lacunisphaera anatis	0.0	0.0
Bacteria	Cyanobacteria	unclassified	unclassified	unclassified	unclassified	unclassified	0.0	0.0
Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas aliena	0.0	0.0
Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas tetraodonis GFC	0.0	0.0
Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas spiralis	0.0	0.0
Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas fuliginea	0.0	0.0
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas lenta	0.0	0.0
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Heyndrickxia	Heyndrickxia oleronia	0.0	0.0
